instance,time(s),objective,has_converged
a
20,0.141,5.000000,true
7,41.168,392.250000,true
1,0.218,15.000000,true
3,0.172,12.000000,true
18,4.092,117.200000,true
12,1.157,11.250000,true
4,0.165,3.500000,true
17,1.682,36.500000,true
9,0.499,4.416667,true
11,180.200,16.480000,true
15,66.869,149.333333,true
14,104.484,181.636364,true
19,23.882,202.000000,true
2,0.120,2.000000,true
16,5.799,85.000000,true
13,85.940,117.384615,true
6,37.879,691.000000,true
10,180.278,16.605769,true
8,120.206,159.823529,true
5,120.291,172.444444,true

b 30s timelimit
7,30.720,108.000000,true
1,37.840,631.500000,true
3,139.181,149.600000,true
12,61.361,28.911964,true
4,60.216,147.473684,true
9,88.071,82.500000,true
11,62.201,41.165948,true
15,180.514,159.866667,true
14,61.677,43.695931,true
2,68.085,180.636364,true
13,61.888,41.578158,true
6,90.286,82.225806,true
10,60.463,47.040201,true
8,180.464,225.100000,true
5,35.799,368.000000,true

60.559,21.719258,true
61.184,21.719258,true

b_hard timelimit 60
12,121.160,28.911964,true
11,121.302,41.165948,true
15,300.424,162.733333,true
14,121.176,136.040000,true
13,121.295,41.578158,true
10,300.912,444.000000,true converged

b_hard so com preprocessAndTightenModel
12,121.060,28.977376,true
11,121.212,41.165948,true
15,240.585,162.466667,true
14,121.773,136.040000,true
13,121.715,119.858025,true
10,360.110,444.000000,true

b_hard so com configureCplex
12,120.578,99.286822,true
11,121.256,41.165948
15,300.510,162.733333,true
14,121.010,136.040000,true
13,121.274,119.858025,true

b_hard com configureCplex e time limit grande p gap > 1
12,575.867,99.286822,false
1,578.382,136.435714,false
571.366,162.733333,false
